,SRResNet_psnr,SRResNet_ssim,SRResNet_lpips,SRResNet_niqe,DASR_psnr,DASR_ssim,DASR_lpips,DASR_niqe,BSRNet_psnr,BSRNet_ssim,BSRNet_lpips,BSRNet_niqe,RealESRNet_x4plus_psnr,RealESRNet_x4plus_ssim,RealESRNet_x4plus_lpips,RealESRNet_x4plus_niqe,Real-RRDB_withdropout_psnr,Real-RRDB_withdropout_ssim,Real-RRDB_withdropout_lpips,Real-RRDB_withdropout_niqe,GDRealESRNetx4plus_psnr,GDRealESRNetx4plus_ssim,GDRealESRNetx4plus_lpips,GDRealESRNetx4plus_niqe,swinir-l_psnr,swinir-l_ssim,swinir-l_lpips,swinir-l_niqe
75,19.684,0.406,0.648,8.172,19.665,0.404,0.647,7.91,21.128,0.519,0.625,11.366,20.827,0.512,0.636,11.665,20.731,0.504,0.653,11.821,20.723,0.506,0.65,12.195,20.876,0.519,0.618,11.024
76,19.335,0.477,0.7,14.024,19.34,0.476,0.692,12.498,21.095,0.517,0.631,11.411,20.532,0.503,0.658,11.539,20.224,0.492,0.662,11.382,20.386,0.495,0.669,12.143,20.901,0.517,0.625,11.068
77,23.689,0.594,0.547,7.779,23.79,0.598,0.541,7.773,24.623,0.644,0.486,8.192,24.087,0.645,0.478,8.128,24.214,0.637,0.499,8.433,24.669,0.648,0.479,8.259,24.429,0.649,0.481,8.064
78,20.244,0.487,0.674,11.931,20.248,0.486,0.668,11.081,20.979,0.518,0.625,10.679,20.765,0.519,0.62,10.357,20.448,0.508,0.631,10.204,20.885,0.515,0.635,10.914,20.836,0.521,0.615,10.381
79,23.36,0.58,0.562,7.771,23.451,0.584,0.557,7.778,24.624,0.644,0.484,8.237,24.417,0.646,0.479,8.143,24.258,0.636,0.5,8.551,24.631,0.643,0.483,8.507,24.691,0.649,0.48,8.174
80,19.916,0.485,0.678,12.62,19.922,0.484,0.67,11.425,21.544,0.532,0.609,10.871,21.062,0.523,0.619,10.961,20.894,0.51,0.631,10.272,21.038,0.516,0.632,11.445,21.254,0.533,0.604,10.873
81,19.411,0.428,0.676,8.532,19.434,0.433,0.674,9.262,20.061,0.51,0.609,9.627,19.951,0.512,0.584,9.68,20.209,0.513,0.609,9.687,20.374,0.514,0.598,9.725,19.882,0.509,0.598,9.82
82,21.029,0.513,0.651,12.576,21.07,0.514,0.643,12.3,23.477,0.595,0.53,9.244,22.455,0.582,0.541,9.139,21.716,0.554,0.569,9.203,22.91,0.581,0.548,9.383,23.334,0.602,0.517,8.891
83,20.114,0.466,0.657,10.672,20.109,0.463,0.655,10.147,21.235,0.523,0.62,11.155,20.747,0.512,0.63,11.61,20.8,0.508,0.643,11.289,20.758,0.509,0.641,11.916,20.984,0.525,0.612,11.165
84,15.261,0.178,0.645,9.605,17.011,0.232,0.629,9.777,22.522,0.571,0.536,7.841,22.947,0.59,0.537,8.845,22.826,0.579,0.553,8.743,23.041,0.587,0.538,8.906,22.418,0.57,0.527,8.192
85,19.346,0.478,0.709,14.24,19.352,0.477,0.699,12.666,21.267,0.522,0.62,11.328,20.613,0.506,0.654,11.819,20.254,0.494,0.66,11.735,20.393,0.496,0.662,12.251,21.012,0.522,0.613,11.042
86,20.025,0.482,0.683,11.719,20.023,0.482,0.684,11.606,20.662,0.513,0.646,10.866,20.588,0.512,0.642,10.95,20.152,0.497,0.646,10.344,20.681,0.509,0.657,11.608,20.473,0.512,0.641,10.778
87,22.202,0.487,0.57,9.976,18.647,0.32,0.596,15.181,23.743,0.621,0.494,8.202,23.898,0.636,0.482,8.069,23.878,0.622,0.508,8.478,24.2,0.634,0.478,8.152,23.297,0.61,0.487,8.48
88,21.234,0.515,0.635,11.991,21.261,0.514,0.629,11.313,23.115,0.584,0.541,9.588,22.284,0.573,0.551,9.369,21.812,0.554,0.57,9.29,22.654,0.57,0.558,9.92,22.839,0.584,0.539,9.501
89,20.33,0.494,0.66,11.255,20.341,0.492,0.655,10.543,21.984,0.546,0.59,10.308,21.025,0.528,0.609,10.512,20.893,0.518,0.61,9.842,21.217,0.526,0.616,10.987,21.739,0.548,0.584,10.041
90,23.354,0.563,0.528,7.404,23.721,0.579,0.518,7.892,25.078,0.675,0.446,7.586,25.213,0.683,0.439,7.567,24.904,0.665,0.464,7.73,25.39,0.681,0.438,7.903,24.966,0.681,0.437,7.368
91,22.771,0.548,0.577,6.954,23.4,0.572,0.566,7.268,24.771,0.65,0.485,8.065,24.654,0.652,0.479,8.186,24.39,0.639,0.502,8.159,24.906,0.653,0.478,8.213,24.592,0.654,0.476,7.959
92,20.974,0.507,0.644,11.934,20.993,0.506,0.639,11.18,22.772,0.569,0.562,9.999,22,0.56,0.57,9.932,21.452,0.543,0.584,9.412,22.324,0.557,0.578,10.226,22.4,0.569,0.56,9.685
93,20.235,0.49,0.679,12.655,20.245,0.49,0.671,12.15,21.671,0.533,0.605,10.972,21.101,0.525,0.611,10.593,20.864,0.511,0.622,10.075,21.254,0.522,0.618,11.109,21.419,0.534,0.599,10.577
94,20.363,0.493,0.671,13.048,20.374,0.492,0.666,12.353,22.135,0.546,0.59,10.486,21.407,0.535,0.599,10.341,21.096,0.519,0.609,10.018,21.539,0.53,0.605,10.728,21.796,0.546,0.585,10.444
95,21.692,0.519,0.627,12.427,21.751,0.518,0.624,11.863,21.529,0.534,0.58,10.031,23.552,0.62,0.498,8.47,22.455,0.573,0.547,9.517,23.605,0.612,0.504,8.514,21.075,0.534,0.576,10.03
96,21.838,0.5,0.589,7.936,21.806,0.498,0.585,7.784,22.414,0.577,0.521,8.704,22.561,0.593,0.51,8.512,22.605,0.584,0.531,8.673,22.699,0.588,0.516,8.651,22.124,0.578,0.51,8.148
97,19.527,0.474,0.692,12.402,19.529,0.473,0.688,11.507,20.274,0.503,0.662,11.657,20.147,0.497,0.672,11.894,19.941,0.484,0.677,10.908,20.051,0.491,0.685,12.204,20.041,0.502,0.653,11.408
98,23.187,0.548,0.542,7.152,23.198,0.543,0.539,7.107,24.215,0.639,0.468,8.037,24.184,0.647,0.465,8.176,24.209,0.639,0.48,8.127,24.64,0.647,0.466,8.366,24.071,0.642,0.463,7.986
99,19.764,0.464,0.671,10.8,19.761,0.462,0.669,10.314,20.982,0.517,0.632,11.425,20.6,0.507,0.651,12.179,20.55,0.5,0.658,11.551,20.517,0.502,0.66,12.638,20.799,0.517,0.625,11.252
